name,manual,gradient,cubic,golden
M001,13.0,12.87720418070694,15.076371999678692,10.8092498623484
M002,13.0,12.87720418070694,12.87720418070694,11.984100454707338
M003,18.0,17.651113509036346,17.651113509036346,17.407208335219675
M004,28.0,28.326824805926805,28.326824805926805,26.300782298087267
M005,24.0,24.19483326789813,28.326824805926805,25.90782723808293
M006,45.0,45.4593985345391,45.4593985345391,45.82832070436556
M007,13.0,12.87720418070694,12.87720418070694,14.161503286068491
M008,39.0,33.164477502323265,38.82830410883109,37.631772860268605
M009,,28.326824805926805,100.0,7.740833435330893
M010,15.0,24.19483326789813,28.326824805926805,30.15763183119313
M011,,53.22295069415713,53.22295069415713,7.740833435330893
M012,21.0,15.076371999678692,24.19483326789813,23.722408578741994
M013,13.0,9.394443439884116,10.998825680021056,5.5434468660268745
M015,,100.0,5.000000000000001,9.147272967683447
M016,15.0,17.651113509036346,17.651113509036346,16.0878282498858
M017,28.0,28.326824805926805,28.326824805926805,27.613726828285607
M018,13.0,12.87720418070694,20.66556915122056,14.730761919217509
M019,15.0,8.024090035856696,62.312361621777015,6.297496762278169
M020,15.0,45.4593985345391,53.22295069415713,6.981967738133062
M021,24.0,24.19483326789813,24.19483326789813,22.256903856226785
M022,62.0,62.312361621777015,62.312361621777015,64.59252794639507
M023,33.0,33.164477502323265,33.164477502323265,34.45739710744513
M024,28.0,28.326824805926805,28.326824805926805,26.94926005940781
M025,53.0,53.22295069415713,53.22295069415713,51.76364355956473
M026,,53.22295069415713,62.312361621777015,7.262626177495923
M027,18.0,17.651113509036346,17.651113509036346,16.734520549062477
M028,13.0,15.076371999678692,15.076371999678692,11.52098437953222
M029,53.0,53.22295069415713,53.22295069415713,52.85178765186035
M030,15.0,15.076371999678692,17.651113509036346,18.106936564891114
M031,,10.998825680021056,10.998825680021056,10.8092498623484
M032,28.0,28.326824805926805,28.326824805926805,28.72373274170332
M033,15.0,15.076371999678692,15.076371999678692,16.988340156012562
M034,18.0,15.076371999678692,17.651113509036346,6.9819677381330605
M035,15.0,15.076371999678692,15.076371999678692,13.614243202158956
M036,24.0,24.19483326789813,24.19483326789813,24.90663976371535
M037,,85.41314966877566,85.41314966877566,6.297496762278169
M038,33.0,33.164477502323265,33.164477502323265,31.07939693498092
M039,39.0,38.82830410883109,38.82830410883109,41.098586877906335
M040,13.0,9.394443439884116,15.076371999678692,11.52098437953222
M041,11.0,9.394443439884116,33.164477502323265,7.740833435330893
M042,18.0,6.853628031883595,5.000000000000001,26.94926005940781
M045,,85.41314966877566,100.0,5.5434468660268745
